applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed,credit_score,total_credit_limit,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,estimated_debt,total_monthly_debt,DTI,approved,approved_amount,interest_rate
A00012,47535,9800.054631968169,1448.9865930734602,1785.7836015016428,71,ON,Part-time,431,533,62765.61666923773,0.23412051465857975,8,6,Late <30,440.84155432395204,10240.89618629212,2.598793233029263,0,1785.7836015016428,9.75
A00013,67716,5962.585752327021,1773.1125352264487,28559.99812229952,54,BC,Part-time,216,581,24199.59210119849,0.3200045197121383,11,1,On Time,232.31936542721033,6194.905117754231,1.2496376149961397,0,8464.5,9.75
A00014,23050,7097.370848010202,8626.740703318892,7064.272638116541,48,QC,Unemployed,90,524,76926.82280917407,0.7886281929915411,18,8,Late <30,1819.9998379373824,8917.370685947584,4.752780320220953,0,2881.25,9.75
A00015,25327,73.57829625414536,3927.6091892471923,4922.02488048059,82,BC,Unemployed,197,587,36823.176142750985,0.35771780182508994,3,6,On Time,395.1691687800893,468.74746503423466,0.29205585096473435,0,4922.02488048059,8.75
A00016,45295,5182.057321825208,43.73982283009337,38019.45436614257,32,QC,Full-time,398,516,83556.73710602368,0.40355961589309886,9,2,Late >60,1011.6037419536266,6193.661063778835,1.943060742624072,0,3114.0312500000005,11.75
A00017,36159,375.2865753180312,2738.71819705371,1465.8039184871757,41,QC,Unemployed,38,690,44865.77038399136,0.36441227125565245,18,8,Late >60,490.4891186179463,865.7756939359775,0.30191647274225264,1,1465.8039184871757,9.75
A00018,70208,5692.30212091448,5976.2899319556,47991.413736827584,66,ON,Unemployed,470,590,58231.40251713735,0.16163252651784366,16,2,On Time,282.3626613456729,5974.664782260153,1.2672756143513524,0,8776.0,9.75
A00019,38104,9207.708496360754,7992.65965959968,26247.51284151627,46,QC,Part-time,78,831,91348.07035350936,0.34089653508290796,17,9,Late 30-60,934.2072201006314,10141.915716461386,3.4419507983540436,0,9526.0,6.75
A00020,29612,9684.191305004078,1333.8861709325956,49167.80510460127,25,QC,Full-time,93,730,84494.3573482038,0.8029353031038082,9,7,Late <30,2035.3050728382452,11719.496377842324,5.346966310001498,0,8143.300000000001,7.75
A00021,124856,5405.526753889241,1105.4136441673534,3841.881051162713,60,ON,Part-time,42,686,82549.08628683642,0.49107535437708927,11,6,Late >60,1216.1346540543934,6621.661407943635,0.6474900210942383,0,3841.881051162713,9.75
A00022,53595,4582.048052522159,9220.926535723316,29592.947894429748,28,MB,Part-time,131,706,32834.73580923372,0.45821748327596956,19,2,Late >60,451.363500196153,5033.411552718312,1.325765460856693,0,6699.375,9.75
A00023,62060,9450.17094248494,7511.483678225826,18117.02476281965,86,BC,Unemployed,76,744,23851.390935968702,0.15635117627582973,7,4,On Time,111.87579085960108,9562.046733344541,1.954023359889616,0,15000.0,7.75
A00024,29428,6736.098319966951,5897.796007780785,42330.642147900006,62,QC,Unemployed,231,799,68460.71605444833,0.17756983853052843,18,6,Late 30-60,364.6967488641824,7100.795068831133,3.4133672692407773,0,7357.0,6.75
A00025,45702,648.9927953840946,7691.86789995928,18699.914026480026,31,ON,Full-time,38,630,52855.331399107825,0.04295016435011911,0,2,Late 30-60,68.10435511115077,717.0971504952454,0.3355900147800043,1,9426.0375,9.75
A00026,63421,4657.255776674976,4288.543613066385,13763.891373810106,51,QC,Unemployed,565,611,92726.18211443792,0.013955531523223708,3,1,Late 30-60,38.82129472578662,4696.077071400762,0.9666817891767836,0,7927.625,9.75
A00027,33745,2402.450184643039,7584.557473091266,43020.10322789575,50,ON,Part-time,150,721,47967.461085048155,0.48801403807288213,5,8,On Time,702.2638314065455,3104.7140160495846,1.5630109750966803,0,8436.25,7.75
A00028,72399,4698.0432144868155,3718.0299127453577,19358.00149100979,66,BC,Unemployed,418,836,52843.86807983378,0.40923235521296497,3,1,On Time,648.7626177862079,5346.805832273023,0.9824797376212351,0,18099.75,6.75
A00029,44434,4554.655720063617,2440.9457249260236,1824.832673167512,23,AB,Full-time,185,543,62080.043443913564,0.27537757181157285,15,2,Late <30,512.863548646256,5067.519268709873,1.38333643126567,0,1824.832673167512,9.75
A00030,51857,5821.44802814742,7290.134212929686,20124.165941127354,79,MB,Full-time,317,719,83712.05325056895,0.990046540351415,7,0,Late >60,2486.3648611931767,8307.812889340596,2.0621797329365945,0,7130.337500000001,9.75
A00031,44411,3567.704903492512,4196.722921572683,33071.591181536154,21,AB,Part-time,463,809,41463.9243280642,0.3979961956545057,8,0,Late >60,495.07452418427573,4062.7794276767877,1.3658581422952527,0,5551.375,8.75
A00032,151484,1642.7044945592806,9813.771043261948,13463.61740151271,42,ON,Part-time,431,741,95345.65257298993,0.788846899131616,14,0,On Time,2256.393671336504,3899.098165895785,0.3408682121893665,1,13463.61740151271,7.75
A00033,59596,5037.194345899563,3494.85182308101,22167.392028832706,52,QC,Unemployed,134,713,63193.68901772305,0.21054559333155676,17,9,Late >60,399.15458247139145,5436.348928370954,1.2285463499367613,0,7449.5,9.75
A00034,35356,8302.028843457621,9217.27420531066,3779.0417758290505,60,MB,Full-time,502,734,87278.18089395274,0.24704120860874967,2,2,Late <30,646.839218796455,8948.868062254076,3.075768519808445,0,3779.0417758290505,7.75
A00035,90524,6640.122280676023,9329.625485670795,29816.5467841839,38,BC,Part-time,268,860,62049.47867648151,0.5683913671847434,16,5,On Time,1058.0516405407773,7698.1739212168,1.139057530565461,0,22631.0,6.75
A00036,32587,3383.6786592521585,2418.5294706474615,38058.4512691593,59,MB,Unemployed,436,759,81759.45565920108,0.004028269702193499,0,9,Late >60,9.880474142993775,3393.5591333951525,1.670106240452916,0,4073.375,8.75
A00037,66604,9355.230227588572,7982.211815880134,21252.315508654403,100,QC,Unemployed,497,524,24113.660198743575,0.017425461908900042,6,2,Late 30-60,12.605750018320956,9367.835977606894,1.8026674871538995,0,8325.5,9.75
A00038,22522,9122.075712491822,4330.745051445651,21591.399007271542,38,AB,Unemployed,550,671,83936.99853464108,0.14221872114952816,9,3,On Time,358.12237766179425,9480.198090153615,5.396291658132544,0,5630.5,7.75
A00039,30884,2093.4839938409878,9175.24727230348,5325.842430660905,24,ON,Part-time,339,688,61916.75438479539,0.22312104103096309,14,1,Late >60,414.44792086781985,2507.9319147088077,1.036539510799884,0,3860.5,9.75
A00040,66206,394.17585120362975,4501.242726352388,10895.102361087145,75,AB,Part-time,241,782,55953.24705492661,0.5278495157997718,12,6,Late >60,886.0468309610405,1280.2226821646702,0.29128642473442606,1,10895.102361087145,7.75
A00041,86797,7413.087083507622,7443.037173373661,8579.08985326772,60,MB,Unemployed,220,688,28928.77332894943,0.6862294308161264,4,3,Late <30,595.5532696720112,8008.640353179633,1.1428062788498679,0,8579.08985326772,7.75
A00042,65367,8276.102613491532,4669.674091637979,24602.70066441536,43,QC,Unemployed,360,681,79325.00311268104,0.31187866398802566,6,10,Late <30,742.1932797488681,9018.2958932404,1.7910646497173548,0,15000.0,7.75
A00043,56628,9678.645659513553,2278.007557128562,26933.521506586756,59,ON,Part-time,189,684,30493.09220033111,0.23907093600378415,13,0,Late 30-60,218.70036281948543,9897.346022333038,2.268563608292147,0,14157.0,7.75
A00044,51613,8898.363940883108,1993.501289446863,47498.06643292874,59,QC,Full-time,412,703,35385.42502431945,0.8228111784933211,13,3,Late 30-60,873.4656979724201,9771.829638855528,2.6032445233201074,0,14193.575,7.75
A00045,28647,6005.347682064148,4254.311942563456,4588.343709584462,21,QC,Unemployed,328,670,30113.860456771865,0.1627769846806758,8,3,Late 30-60,147.0553020674389,6152.402984131587,2.6348531973689897,0,4588.343709584462,7.75
A00046,41863,5300.523392123808,7554.9465701421495,30393.53068459731,61,MB,Full-time,221,638,20526.048617092492,0.6783265550578801,5,10,Late <30,417.7009154214874,5718.224307545295,1.900493579939292,0,5756.1625,9.75
A00047,47656,278.4105126258629,6050.714851807668,26798.427839083826,64,AB,Full-time,91,665,72953.1024053747,0.9313305164158708,18,2,Late >60,2038.3035161201258,2316.714028745989,0.7857982702497491,0,6552.700000000001,9.75
A00048,101789,2466.5644684477784,6886.292899005432,26295.42179885563,75,QC,Part-time,439,710,41667.52358172852,0.23221091024274054,14,7,On Time,290.2696073542211,2756.8340758019995,0.41800548936733856,0,15000.0,7.75
A00049,71247,4596.147517329265,2823.2635073194247,43784.805081758495,92,QC,Part-time,105,742,31957.636735264103,0.08696536551614964,15,6,On Time,83.3762267914372,4679.523744120702,1.0094013047409924,0,15000.0,7.75
A00050,24849,6285.039000835678,4814.353459576055,11071.385064078837,69,QC,Full-time,244,953,45597.79860114661,0.9797588940160105,11,9,Late <30,1340.2454618107258,7625.284462646404,3.8427748470693075,0,6833.475,6.75
A00051,70554,5572.518333184106,443.95264969326996,2997.8904427272014,23,ON,Part-time,304,547,59926.775323734175,0.27077379612125163,20,9,Late <30,486.7980133113855,6059.316346495491,1.0458802720941078,0,2997.8904427272014,9.75
A00052,49491,7426.359896816905,8175.324159581207,33941.303874075435,91,QC,Full-time,554,738,60273.00167074289,0.27566320906000485,2,2,Late <30,498.45147180708057,7924.811368623986,2.168406494476874,0,13610.025000000001,7.75
A00053,42771,2797.6693088704087,9898.921622398746,17912.715742663026,33,QC,Full-time,597,827,49375.68066655676,0.48377229133799704,2,3,Late <30,716.597585173002,3514.2668940434105,1.1367464028402332,0,11762.025000000001,6.75
A00054,81465,5649.526076524732,4068.790626246709,1861.905894413705,57,MB,Part-time,96,602,59594.58168331432,0.23105765904614617,5,7,On Time,413.09353606742843,6062.619612592161,0.9012670652807323,0,1861.905894413705,9.75
A00055,100468,881.4224339079213,109.6365313154335,13317.326357230277,88,QC,Part-time,476,748,54187.31662359953,0.9928723554335691,20,9,Late 30-60,1614.0326607209358,2495.4550946288573,0.3457787417301945,0,13317.326357230277,7.75
A00056,95582,4136.65523583207,1697.9263955094737,16157.011936623781,97,QC,Unemployed,265,643,85813.21975875886,0.042965885869543974,18,2,On Time,110.61123018758786,4247.266466019658,0.5940838430815473,0,10000.0,9.75
A00057,39438,7501.60832954601,6525.268777504189,31225.08046242786,56,MB,Part-time,574,628,22369.117399294555,0.45147307893230826,11,4,Late <30,302.97162915773345,7804.579958703744,2.6597694728667514,0,4929.75,9.75
A00058,51405,6934.00853429044,6120.793182038592,9456.703908414333,57,ON,Unemployed,102,606,89442.41066584375,0.5483467350630002,15,4,Late 30-60,1471.3636159433847,8405.372150233825,2.028380103294136,0,6425.625,9.75
A00059,70808,9906.42737172179,7878.647195855439,21239.663049716502,70,AB,Part-time,253,670,39513.22045429003,0.466950857947249,17,4,On Time,553.5219657416854,10459.949337463475,1.8806585519638972,0,15000.0,7.75
A00060,97721,2778.91125987756,2538.840109610682,24641.296776473795,21,MB,Part-time,454,667,77742.57720290005,0.5205229728628701,3,4,Late <30,1214.0039221102418,3992.9151819878016,0.5811018002618085,0,15000.0,7.75
A00061,47217,4981.892991739792,7636.31915547134,23502.632176840456,47,ON,Part-time,512,755,52403.169307240474,0.9875791442170644,19,8,Late <30,1552.5683129611944,6534.461304700986,1.8398984103198932,0,11804.25,6.75
A00062,54680,3295.3041377399672,6879.840215236698,48723.0975666723,49,AB,Part-time,492,535,43546.63716038289,0.8769015838701242,12,9,Late >60,1145.5834529447206,4440.887590684688,1.2953724618181837,0,3417.5,11.75
A00063,34507,4406.031140591747,3228.1449771384328,3229.7076517245096,84,QC,Full-time,260,765,69227.78983999076,0.3084436792961116,12,4,Late >60,640.5862262335417,5046.617366825289,1.7886835470056595,0,3229.7076517245096,8.75
A00064,32991,8569.501298693882,5454.88148056962,47597.44113616757,63,MB,Part-time,34,762,81510.75350904834,0.551477049190772,1,10,Late <30,1348.5392946745903,9918.040593368472,4.126930554679822,0,8247.75,6.75
A00065,90071,6842.090751884866,1472.7380849832673,29514.923485707634,91,QC,Full-time,380,710,55994.9162482883,0.00031101252880083585,8,10,On Time,0.5224536150711346,6842.613205499937,1.0295958845894237,0,16500.0,7.75
A00066,118210,8824.411913475817,4525.645034355826,39990.65803352208,40,MB,Part-time,396,908,57324.307445238475,0.40956900137371866,10,8,Late >60,704.3477806435903,9528.759694119406,1.089093589556728,0,12500.0,8.75
A00067,57878,2035.1110833188645,8811.97339555641,22089.238282787697,28,AB,Part-time,26,803,24708.518781414357,0.1638742228619684,2,8,On Time,121.47267940123884,2156.5837627201036,0.5845248787871871,0,14469.5,6.75
A00068,99098,8733.61117841438,4211.913798253908,23238.05618159204,39,ON,Full-time,305,629,93919.67845022751,0.7113605907756597,16,10,On Time,2004.322738434415,10737.933916848795,1.3846990577767329,0,11000.0,9.75
A00069,71891,597.6227417838443,8395.66706475422,44086.998451775355,35,MB,Part-time,580,561,87751.7357157007,0.22108957763361148,11,9,Late >60,582.029825580017,1179.6525673638612,0.4176760686456644,1,4493.1875,11.75
A00070,43457,8885.992804371524,5902.533652596944,44900.7903183032,85,ON,Unemployed,164,611,51839.423003394855,0.7488956455116084,4,3,Late <30,1164.6695445923012,10050.662348963826,3.147300382036382,0,5432.125,9.75
A00071,71883,3290.7377946072793,1918.7671310235676,12695.755190133585,25,QC,Unemployed,257,621,81196.04905284467,0.31315983398007285,13,8,Late >60,762.8202372368006,4053.55803184408,0.7402747276905116,0,4492.6875,11.75
A00072,129458,3145.8763341406648,5811.062446978964,10762.85205064629,54,QC,Part-time,101,497,45062.33405667674,0.9258286213113759,18,10,On Time,1251.5999583829705,4397.4762925236355,0.43754995634504085,0,5000.0,11.75
A00073,58934,5120.885766986639,5059.833291570634,25315.523519627604,85,AB,Unemployed,454,729,78433.74344102199,0.4454166017013462,16,1,Late 30-60,1048.070743866458,6168.956510853097,1.4107487460091475,0,14733.5,7.75
A00074,131192,9406.901877232318,3986.41335196384,45113.57432925689,95,AB,Unemployed,192,548,61335.33732512483,0.8395177196738491,3,2,Late >60,1544.7630757984534,10951.664953030771,1.1255325492019463,0,5000.0,11.75
A00075,16191,477.8136468140537,1196.3043951607033,16795.399576902637,48,BC,Unemployed,298,703,56861.33777758012,0.6281660030390132,0,0,Late 30-60,1071.5507783758123,1549.364425189866,1.5217538725195072,0,4047.75,7.75
A00076,90495,3522.309750707453,4167.086638472299,32948.71615161744,89,BC,Unemployed,20,773,24521.839780649178,0.9773982149034702,16,10,Late <30,719.0280728326622,4241.337823540115,0.6934923663966369,0,22623.75,6.75
A00077,62669,8565.719886833358,727.6237623962711,35699.43269928946,47,AB,Full-time,44,819,97233.75374470903,0.7427227507120846,9,6,Late >60,2166.5316312999526,10732.251518133311,2.260109687235219,0,8616.987500000001,8.75
A00078,51668,3960.5447743546674,987.6905139875125,39155.05857981364,90,QC,Full-time,479,654,86992.71759027362,0.7277033223113857,7,9,Late 30-60,1899.1466882201469,5859.691462574814,1.6337407803598103,0,7104.35,9.75
A00079,62816,1991.56897597067,4159.16532932716,28632.2984381272,92,ON,Full-time,495,608,83471.04543891572,0.2648659824493186,10,10,Late <30,663.2592136875038,2654.828189658174,0.6712551852016028,0,8637.2,9.75
A00080,22210,4247.941813314118,3053.814819684637,20720.30373566951,51,AB,Unemployed,222,813,44393.29581229794,0.5048597509725403,19,8,On Time,672.3716480594115,4920.313461373529,2.9942850464350914,0,5552.5,6.75
A00081,53758,3855.525014916693,9255.443258622234,48383.78345114967,77,ON,Unemployed,298,830,43167.21475389869,0.29011368868563847,9,2,Late <30,375.7019970761599,4231.2270119928535,1.2685160568906606,0,13439.5,6.75
A00082,71729,9154.162014667034,3757.058053802705,30955.20691183978,38,BC,Full-time,480,748,65855.44772757194,0.019293437018403692,18,7,Late <30,38.11733799152057,9192.279352658554,1.6931955934164002,0,16500.0,7.75
A00083,125623,7619.343757430971,7578.581220721001,36699.69537003027,47,ON,Unemployed,23,610,87697.8556980919,0.7105853326512335,5,0,On Time,1869.504298920855,9488.848056351826,1.0115828073635624,0,10000.0,9.75
A00084,46303,5051.155557440064,5302.475263662427,17904.15943909804,71,AB,Full-time,337,548,94770.27249349219,0.23583649970426868,10,5,Late <30,670.5086802265479,5721.664237666611,1.6220432423401212,0,6366.6625,9.75
A00085,40048,9883.70566721571,7040.856686423354,33827.50986915093,19,QC,Full-time,83,791,41514.32208062444,0.3973240303427875,15,5,Late >60,494.83913298066835,10378.54480019638,3.4139143316832525,0,5506.6,8.75
A00086,46687,4652.775312759233,2601.1598301539916,13632.08544604217,52,AB,Full-time,59,673,68593.18402555339,0.28463878717386626,9,4,Late <30,585.72842128282,5238.503734042053,1.4515731481800032,0,12838.925000000001,7.75
A00087,94826,582.3783082027522,9419.04972838329,13009.748958903172,62,MB,Unemployed,287,803,77912.22399147722,0.19963585646365045,0,3,Late 30-60,466.62220696578987,1049.000515168542,0.1821390315654741,1,13009.748958903172,5.75
A00088,70719,2622.743218149849,5300.884969144239,36021.38788866189,32,MB,Full-time,516,613,38111.37161465791,0.06711932438375345,7,2,Late <30,76.74028542341993,2699.483503573269,0.6414330191716159,0,9723.862500000001,9.75
A00089,46037,4360.704802193126,8313.240712852497,26548.34207688382,55,MB,Part-time,153,790,52597.490417793946,0.33788990877128633,16,3,Late 30-60,533.1648371660101,4893.869639359136,1.4832382392420838,0,11509.25,6.75
A00090,77554,1569.0262414612012,3650.456934761135,34480.5539106971,53,QC,Full-time,280,820,34997.94189709125,0.08174492352120255,18,6,Late <30,85.82712251331644,1654.8533639745176,0.4161131569686305,0,21327.350000000002,6.75
A00091,62984,9475.65126324043,1002.1134905052453,14202.486046656491,77,AB,Full-time,433,655,75912.40622146674,0.5403191404032229,8,6,Late >60,1230.5077822656954,10706.159045506125,2.1209641102957866,0,4330.150000000001,11.75
A00092,97384,7668.488978177731,6737.116477208488,30337.44371177979,42,MB,Part-time,341,710,89102.81092361582,0.01962410376147128,19,2,On Time,52.4568842101138,7720.9458623878445,1.0635507895023295,0,15000.0,7.75
A00093,42237,2682.8720042777263,77.59648337424485,22752.748835452516,83,AB,Unemployed,85,563,90202.7483641324,0.9400198796428597,7,10,On Time,2543.7712998212073,5226.643304098934,1.6788765591767907,0,5279.625,9.75
A00094,50933,5908.045335179158,4752.9297656550825,30251.054055430868,24,BC,Full-time,586,566,73607.10963941657,0.9664750194526766,8,9,Late 30-60,2134.1829816183126,8042.228316797471,2.1085959841659583,0,7003.2875,9.75
A00095,49318,7214.49157109572,1928.0190266645925,15253.106879966748,86,MB,Part-time,190,711,47772.18881394907,0.304653848296369,15,2,Late <30,436.61943491131007,7651.1110060070305,1.973000741085859,0,12329.5,7.75
A00096,28863,9412.78928906798,6273.755044353622,36057.09721880707,56,MB,Unemployed,251,625,72883.23014834036,0.2601946408064699,13,2,Late <30,568.9147766778809,9981.70406574586,4.5996952426193,0,3607.875,9.75
A00097,69574,8816.353491754106,9794.198731378521,40490.53894181381,19,QC,Part-time,67,704,89141.33817366548,0.10440519970180118,5,4,Late >60,279.20457641122016,9095.558068165326,1.7782977956857,0,7500.0,9.75
A00098,68365,5151.922261382137,4644.02906320646,13735.907219028459,59,AB,Full-time,145,696,70068.46671486266,0.9049189265806687,8,0,Late <30,1902.188450603005,7054.110711985142,1.3105281232015207,0,13735.907219028459,7.75
A00099,60153,7746.526197930176,8174.982565256667,15730.40743292646,49,QC,Part-time,553,745,53031.35522366924,0.5868639252999043,10,9,Late 30-60,933.6656787160833,8680.191876646259,1.8257651188736825,0,15000.0,7.75
A00100,53359,5621.44753827585,5077.8418695112105,33396.55921623556,54,QC,Unemployed,573,732,93584.22005751991,0.6101249229981065,14,10,Late 30-60,1712.9419516929656,7334.389489968816,1.874762180653134,0,13339.75,7.75
A00101,29567,5527.038900455401,4958.400311040241,35083.673540873664,91,AB,Full-time,254,772,86817.32746155412,0.895856462601998,14,6,Late >60,2333.275916168015,7860.314816623416,3.61734028728635,0,4065.4625000000005,8.75
A00102,48619,1147.419583381919,9304.234931787778,35500.88453547505,72,BC,Part-time,130,702,90594.81921982495,0.9107867938565986,4,7,Late 30-60,2475.3769481172753,3622.7965314991943,1.1570348384533073,0,12154.75,7.75
A00103,50551,1261.3765801615207,8899.658687466816,34452.226734016,49,AB,Unemployed,376,710,92255.36168322356,0.8283416697105109,7,6,Late 30-60,2292.568810092855,3553.9453902543755,1.089002122753225,0,12637.75,7.75
A00104,40173,5295.336150224574,7858.004651879744,20247.578130674403,47,BC,Unemployed,531,679,51504.98461282505,0.7734415610996611,19,7,Late >60,1195.082871100723,6490.419021325297,2.1201841132837065,0,5021.625,9.75
A00105,55351,2688.615449790066,2962.557533167841,20347.83004578024,21,QC,Full-time,198,784,88771.12060058682,0.8772412222999837,2,8,Late 30-60,2336.210590217941,5024.826040008007,1.2217147169261076,0,15221.525000000001,6.75
A00106,73432,210.36902460468633,5450.084157239406,13486.06355857469,76,BC,Full-time,220,864,65627.97369973583,0.8759706066845226,19,3,Late 30-60,1724.6452781170044,1935.0143027216907,0.3823286103299267,0,13486.06355857469,6.75
A00107,154074,7228.392039002123,2238.97233305685,8684.851294921786,79,BC,Full-time,409,754,23052.717884323207,0.36864485627189947,3,2,On Time,254.94797613428926,7483.340015136412,0.6031298379207964,0,8684.851294921786,6.75
A00108,65472,324.8659669016496,4439.1669804653975,34936.291590448374,24,BC,Full-time,170,729,70866.90852160941,0.9733912199789841,6,6,Late >60,2069.4367962596534,2394.302763161303,0.6309368604975722,0,8250.0,9.75
A00109,68246,5952.768411040545,4842.130657597906,5566.250512643329,38,MB,Part-time,144,658,57649.51394355962,0.7091322131603892,16,8,On Time,1226.4338223125146,7179.20223335306,1.2917134628372113,0,5566.250512643329,9.75
A00110,57807,5391.937941273144,8316.400401693309,46951.8220525523,79,MB,Unemployed,487,704,42012.37273498379,0.37020943401266204,11,8,Late <30,466.60130195242033,5858.539243225565,1.508556521833439,0,14451.75,7.75
A00111,22987,9688.146905778045,8960.283653249931,41507.628879901116,64,QC,Full-time,353,640,97630.65120376316,0.4420495172755089,5,7,Late >60,1294.7274670775125,10982.874372855558,6.383488009354466,0,1580.35625,11.75
A00112,59209,4842.131393476417,4146.200623964779,43017.781257905546,31,AB,Full-time,180,618,24405.66866343793,0.6871310582814713,20,2,Late <30,503.09678810325136,5345.228181579668,1.344882356260062,0,8141.237500000001,9.75
A00113,61834,636.0143637779736,177.04445073237207,45426.771916144324,41,BC,Full-time,160,660,95670.19125656532,0.36109890963467917,3,5,Late 30-60,1036.3920524186085,1672.406416196582,0.5890370165955775,0,16500.0,7.75
A00114,205606,5516.879678064617,8617.738397893547,21021.643565438764,97,MB,Part-time,463,858,32741.364850771053,0.8265577120200163,17,1,On Time,811.8788285839771,6328.758506648594,0.4061792640455098,0,21021.643565438764,6.75
A00115,54498,8410.961706161013,1742.786785013607,42488.33544416965,49,AB,Unemployed,59,671,50159.054344042575,0.1480636211914763,15,5,Late 30-60,222.80193665156983,8633.763642812582,2.1817491370995645,0,13624.5,7.75
A00116,69764,9968.4928428144,6218.819638903935,8745.003714290817,22,BC,Unemployed,214,842,53378.81403354794,0.9075942987109628,0,4,On Time,1453.389218664025,11421.882061478424,2.0097870832361355,0,8745.003714290817,6.75
A00117,58967,4303.431736890725,249.70900434131192,2060.447935803548,93,AB,Full-time,579,582,78481.6414928651,0.30119751183660903,16,3,On Time,709.1542542751123,5012.585991165837,1.0326588286817935,0,2060.447935803548,9.75
A00118,33448,3202.987424967425,3995.0647526056428,39459.678338528654,84,ON,Unemployed,191,693,37248.736698936365,0.15271278534313093,4,2,On Time,170.65074995422418,3373.638174921649,1.6350496980665539,0,8362.0,7.75
A00119,106245,9066.532969519989,9859.603021153498,4665.035751850026,34,BC,Part-time,487,752,98888.14745820314,0.8580242814460233,17,7,On Time,2545.452949990594,11611.985919510582,1.3273400527534753,0,4665.035751850026,6.75
A00120,87383,1912.4212907612136,1006.936011038031,49437.70869897016,49,AB,Unemployed,224,757,79920.94822112183,0.2394632389357878,5,9,Late 30-60,574.1438735954766,2486.5651643566903,0.5451444457607262,0,21845.75,6.75
A00121,89109,6154.289150329267,4236.931519996423,34065.025050476244,66,BC,Full-time,391,571,83196.21106776438,0.8433957380496012,12,5,Late 30-60,2105.019895092826,8259.309045422093,1.2498750694456964,0,11000.0,9.75
A00122,38078,4057.144241809477,3071.499501899522,37919.03580186317,61,BC,Unemployed,160,558,28514.30181719156,0.2962644034486761,7,8,Late 30-60,253.43317852877274,4310.57742033825,1.7169436927551274,0,4759.75,9.75
A00123,120994,410.82364955555283,9050.881233882643,13044.38895761543,22,ON,Part-time,454,741,58104.96076075602,0.9338642876541567,18,2,On Time,1627.8644337004844,2038.6880832560373,0.24100564510483163,1,13044.38895761543,6.75
A00124,29767,3472.8847430569776,8693.401079073552,34019.40430206472,80,AB,Part-time,110,624,95648.7480382631,0.21907763980131123,15,4,Late <30,628.6350591051894,4101.519802162167,2.064877991557406,0,3720.875,9.75
A00125,80461,2652.285225026746,2376.987603062288,3117.776925492903,66,QC,Unemployed,58,743,41605.285724144516,0.06964999107200132,17,3,Late 30-60,86.93423337704188,2739.219458403788,0.42247838324185505,0,3117.776925492903,7.75
