applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed
A00027,33745,2402.450184643039,7584.557473091266,43020.10322789575,50,ON,Part-time,150
A00028,72399,4698.0432144868155,3718.0299127453577,19358.00149100979,66,BC,Unemployed,418
A00029,44434,4554.655720063617,2440.9457249260236,1824.832673167512,23,AB,Full-time,185
A00030,51857,5821.44802814742,7290.134212929686,20124.165941127354,79,MB,Full-time,317
A00031,44411,3567.704903492512,4196.722921572683,33071.591181536154,21,AB,Part-time,463
A00032,151484,1642.7044945592806,9813.771043261948,13463.61740151271,42,ON,Part-time,431
A00033,59596,5037.194345899563,3494.85182308101,22167.392028832706,52,QC,Unemployed,134
A00034,35356,8302.028843457621,9217.27420531066,3779.0417758290505,60,MB,Full-time,502
A00035,90524,6640.122280676023,9329.625485670795,29816.5467841839,38,BC,Part-time,268
A00036,32587,3383.6786592521585,2418.5294706474615,38058.4512691593,59,MB,Unemployed,436
A00037,66604,9355.230227588572,7982.211815880134,21252.315508654403,100,QC,Unemployed,497
A00038,22522,9122.075712491822,4330.745051445651,21591.399007271542,38,AB,Unemployed,550
A00039,30884,2093.4839938409878,9175.24727230348,5325.842430660905,24,ON,Part-time,339
A00040,66206,394.17585120362975,4501.242726352388,10895.102361087145,75,AB,Part-time,241
A00041,86797,7413.087083507622,7443.037173373661,8579.08985326772,60,MB,Unemployed,220
A00042,65367,8276.102613491532,4669.674091637979,24602.70066441536,43,QC,Unemployed,360
A00043,56628,9678.645659513553,2278.007557128562,26933.521506586756,59,ON,Part-time,189
A00044,51613,8898.363940883108,1993.501289446863,47498.06643292874,59,QC,Full-time,412
A00045,28647,6005.347682064148,4254.311942563456,4588.343709584462,21,QC,Unemployed,328
A00046,41863,5300.523392123808,7554.9465701421495,30393.53068459731,61,MB,Full-time,221
A00047,47656,278.4105126258629,6050.714851807668,26798.427839083826,64,AB,Full-time,91
A00048,101789,2466.5644684477784,6886.292899005432,26295.42179885563,75,QC,Part-time,439
A00049,71247,4596.147517329265,2823.2635073194247,43784.805081758495,92,QC,Part-time,105
A00050,24849,6285.039000835678,4814.353459576055,11071.385064078837,69,QC,Full-time,244
A00051,70554,5572.518333184106,443.95264969326996,2997.8904427272014,23,ON,Part-time,304
A00052,49491,7426.359896816905,8175.324159581207,33941.303874075435,91,QC,Full-time,554
A00053,42771,2797.6693088704087,9898.921622398746,17912.715742663026,33,QC,Full-time,597
A00054,81465,5649.526076524732,4068.790626246709,1861.905894413705,57,MB,Part-time,96
A00055,100468,881.4224339079213,109.6365313154335,13317.326357230277,88,QC,Part-time,476
A00056,95582,4136.65523583207,1697.9263955094737,16157.011936623781,97,QC,Unemployed,265
A00057,39438,7501.60832954601,6525.268777504189,31225.08046242786,56,MB,Part-time,574
A00058,51405,6934.00853429044,6120.793182038592,9456.703908414333,57,ON,Unemployed,102
A00059,70808,9906.42737172179,7878.647195855439,21239.663049716502,70,AB,Part-time,253
A00060,97721,2778.91125987756,2538.840109610682,24641.296776473795,21,MB,Part-time,454
A00061,47217,4981.892991739792,7636.31915547134,23502.632176840456,47,ON,Part-time,512
A00062,54680,3295.3041377399672,6879.840215236698,48723.0975666723,49,AB,Part-time,492
A00063,34507,4406.031140591747,3228.1449771384328,3229.7076517245096,84,QC,Full-time,260
A00064,32991,8569.501298693882,5454.88148056962,47597.44113616757,63,MB,Part-time,34
A00065,90071,6842.090751884866,1472.7380849832673,29514.923485707634,91,QC,Full-time,380
A00066,118210,8824.411913475817,4525.645034355826,39990.65803352208,40,MB,Part-time,396
A00067,57878,2035.1110833188645,8811.97339555641,22089.238282787697,28,AB,Part-time,26
A00068,99098,8733.61117841438,4211.913798253908,23238.05618159204,39,ON,Full-time,305
A00069,71891,597.6227417838443,8395.66706475422,44086.998451775355,35,MB,Part-time,580
A00070,43457,8885.992804371524,5902.533652596944,44900.7903183032,85,ON,Unemployed,164
A00071,71883,3290.7377946072793,1918.7671310235676,12695.755190133585,25,QC,Unemployed,257
A00072,129458,3145.8763341406648,5811.062446978964,10762.85205064629,54,QC,Part-time,101
A00073,58934,5120.885766986639,5059.833291570634,25315.523519627604,85,AB,Unemployed,454
A00074,131192,9406.901877232318,3986.41335196384,45113.57432925689,95,AB,Unemployed,192
A00075,16191,477.8136468140537,1196.3043951607033,16795.399576902637,48,BC,Unemployed,298
A00076,90495,3522.309750707453,4167.086638472299,32948.71615161744,89,BC,Unemployed,20
A00077,62669,8565.719886833358,727.6237623962711,35699.43269928946,47,AB,Full-time,44
A00078,51668,3960.5447743546674,987.6905139875125,39155.05857981364,90,QC,Full-time,479
A00079,62816,1991.56897597067,4159.16532932716,28632.2984381272,92,ON,Full-time,495
A00080,22210,4247.941813314118,3053.814819684637,20720.30373566951,51,AB,Unemployed,222
A00081,53758,3855.525014916693,9255.443258622234,48383.78345114967,77,ON,Unemployed,298
A00082,71729,9154.162014667034,3757.058053802705,30955.20691183978,38,BC,Full-time,480
A00083,125623,7619.343757430971,7578.581220721001,36699.69537003027,47,ON,Unemployed,23
A00084,46303,5051.155557440064,5302.475263662427,17904.15943909804,71,AB,Full-time,337
A00085,40048,9883.70566721571,7040.856686423354,33827.50986915093,19,QC,Full-time,83
A00086,46687,4652.775312759233,2601.1598301539916,13632.08544604217,52,AB,Full-time,59
A00087,94826,582.3783082027522,9419.04972838329,13009.748958903172,62,MB,Unemployed,287
A00088,70719,2622.743218149849,5300.884969144239,36021.38788866189,32,MB,Full-time,516
A00089,46037,4360.704802193126,8313.240712852497,26548.34207688382,55,MB,Part-time,153
A00090,77554,1569.0262414612012,3650.456934761135,34480.5539106971,53,QC,Full-time,280
A00091,62984,9475.65126324043,1002.1134905052453,14202.486046656491,77,AB,Full-time,433
A00092,97384,7668.488978177731,6737.116477208488,30337.44371177979,42,MB,Part-time,341
A00093,42237,2682.8720042777263,77.59648337424485,22752.748835452516,83,AB,Unemployed,85
A00094,50933,5908.045335179158,4752.9297656550825,30251.054055430868,24,BC,Full-time,586
A00095,49318,7214.49157109572,1928.0190266645925,15253.106879966748,86,MB,Part-time,190
A00096,28863,9412.78928906798,6273.755044353622,36057.09721880707,56,MB,Unemployed,251
A00097,69574,8816.353491754106,9794.198731378521,40490.53894181381,19,QC,Part-time,67
A00098,68365,5151.922261382137,4644.02906320646,13735.907219028459,59,AB,Full-time,145
A00099,60153,7746.526197930176,8174.982565256667,15730.40743292646,49,QC,Part-time,553
A00100,53359,5621.44753827585,5077.8418695112105,33396.55921623556,54,QC,Unemployed,573
A00101,29567,5527.038900455401,4958.400311040241,35083.673540873664,91,AB,Full-time,254
A00102,48619,1147.419583381919,9304.234931787778,35500.88453547505,72,BC,Part-time,130
A00103,50551,1261.3765801615207,8899.658687466816,34452.226734016,49,AB,Unemployed,376
A00104,40173,5295.336150224574,7858.004651879744,20247.578130674403,47,BC,Unemployed,531
A00105,55351,2688.615449790066,2962.557533167841,20347.83004578024,21,QC,Full-time,198
A00106,73432,210.36902460468633,5450.084157239406,13486.06355857469,76,BC,Full-time,220
A00107,154074,7228.392039002123,2238.97233305685,8684.851294921786,79,BC,Full-time,409
A00108,65472,324.8659669016496,4439.1669804653975,34936.291590448374,24,BC,Full-time,170
A00109,68246,5952.768411040545,4842.130657597906,5566.250512643329,38,MB,Part-time,144
A00110,57807,5391.937941273144,8316.400401693309,46951.8220525523,79,MB,Unemployed,487
A00111,22987,9688.146905778045,8960.283653249931,41507.628879901116,64,QC,Full-time,353
A00112,59209,4842.131393476417,4146.200623964779,43017.781257905546,31,AB,Full-time,180
A00113,61834,636.0143637779736,177.04445073237207,45426.771916144324,41,BC,Full-time,160
A00114,205606,5516.879678064617,8617.738397893547,21021.643565438764,97,MB,Part-time,463
A00115,54498,8410.961706161013,1742.786785013607,42488.33544416965,49,AB,Unemployed,59
A00116,69764,9968.4928428144,6218.819638903935,8745.003714290817,22,BC,Unemployed,214
A00117,58967,4303.431736890725,249.70900434131192,2060.447935803548,93,AB,Full-time,579
A00118,33448,3202.987424967425,3995.0647526056428,39459.678338528654,84,ON,Unemployed,191
A00119,106245,9066.532969519989,9859.603021153498,4665.035751850026,34,BC,Part-time,487
A00120,87383,1912.4212907612136,1006.936011038031,49437.70869897016,49,AB,Unemployed,224
A00121,89109,6154.289150329267,4236.931519996423,34065.025050476244,66,BC,Full-time,391
A00122,38078,4057.144241809477,3071.499501899522,37919.03580186317,61,BC,Unemployed,160
A00123,120994,410.82364955555283,9050.881233882643,13044.38895761543,22,ON,Part-time,454
A00124,29767,3472.8847430569776,8693.401079073552,34019.40430206472,80,AB,Part-time,110
A00125,80461,2652.285225026746,2376.987603062288,3117.776925492903,66,QC,Unemployed,58
A00126,179391,6860.911539434868,811.8778705043117,42053.46027625645,46,MB,Unemployed,544
A00127,36564,9487.90497691918,6271.383940611175,9311.58055854705,34,BC,Full-time,552
A00128,45204,2680.4718737863777,3363.6871188370974,35170.545274854754,95,BC,Full-time,28
A00129,63065,8114.659391516818,6720.843906060631,11999.544560403689,87,BC,Full-time,184
A00130,46646,553.5981693840952,321.1975606781448,4354.205301876094,48,BC,Unemployed,223
A00131,27633,5381.2101003981315,1333.9923517748941,24593.19024892032,83,MB,Part-time,356
A00132,62092,705.5006370989458,6863.722327726434,9295.024303366683,87,QC,Part-time,491
A00133,35275,9340.329911306393,2123.706553024978,36742.755428000935,32,ON,Unemployed,597
A00134,76030,7663.512805573902,8575.876757624015,12640.726325790758,93,QC,Part-time,577
A00135,37887,6579.4991120459235,585.9088771013543,17781.15525555561,52,MB,Part-time,113
A00136,130231,8238.963816246644,2154.819827855746,28804.523311959172,74,AB,Unemployed,377
A00137,40557,6475.197955701631,9985.602484850686,14963.445601288267,47,ON,Part-time,284
A00138,51075,9689.443971742912,4330.761025867926,19521.41769428812,100,ON,Unemployed,96
A00139,90116,7139.579478647715,7029.656635446435,40965.466780978946,97,AB,Full-time,123
A00140,32424,9246.586095822468,1826.6304885701368,9781.28262849026,43,BC,Part-time,155
A00141,67226,5171.318920106381,6098.687349855377,5027.877884614751,84,MB,Unemployed,109
A00142,115343,1170.6441298186264,7261.060683694185,17089.531471517945,58,AB,Part-time,52
A00143,26859,5281.777214230171,3144.766358665105,21794.46158368003,33,QC,Part-time,173
A00144,65802,1268.728280630933,8288.971119758779,27590.304824691815,50,QC,Full-time,587
A00145,68325,5924.934791764051,6034.175784722833,19248.761112575346,38,AB,Unemployed,313
A00146,88699,4824.93060527663,3891.230096150302,39705.67331091745,71,MB,Full-time,389
A00147,32325,6225.753978327817,5576.423933431585,2926.65489575519,96,ON,Part-time,44
A00148,31004,100.46981054831593,5767.608474359243,22156.60937172934,85,ON,Part-time,116
A00149,77891,1948.404916553641,1655.3529269386602,19730.539818163827,67,BC,Part-time,121
A00150,69605,4913.304319121309,4027.3236986696616,32731.346049536092,85,MB,Unemployed,481
A00151,68005,9505.03561589135,3434.305880194931,48347.5363429724,95,QC,Full-time,169
A00152,71347,3836.090403551584,4009.0272257912607,26008.394924814245,100,QC,Unemployed,399
A00153,42705,4243.720260536346,7611.105884852579,49356.9655001443,19,BC,Part-time,499
A00154,67388,7146.9608900662215,4825.3840746667265,15810.220350746677,57,QC,Full-time,73
A00155,69469,6037.92757286118,9403.161532392643,2512.53849458059,79,BC,Part-time,148
A00156,41978,2989.261500983332,2936.764133584362,9117.495206344225,73,BC,Full-time,536
A00157,152510,4108.1639556742775,4157.03578284929,20361.1193539538,87,AB,Unemployed,60
A00158,76040,2176.9979885723246,7869.5681047904145,16500.36155023906,20,ON,Unemployed,53
A00159,33072,9660.214591302085,5460.245933207502,5755.652418185506,35,MB,Unemployed,222
A00160,83314,1306.3438155735973,5470.281464244477,22200.345276845124,47,MB,Unemployed,472
A00161,36855,3718.3678456641946,533.4016300518351,17567.672811318575,22,ON,Unemployed,315
A00162,88933,258.3897222001119,3985.9966271845583,7008.341802414484,91,MB,Full-time,169
A00163,107087,2217.794919335464,2707.3373242173247,15509.739399983537,82,QC,Full-time,31
A00164,39805,7804.711383801549,9993.351228311154,44435.366712414136,61,QC,Part-time,52
A00165,97128,2011.7523228887947,3083.5507063231025,15800.394408977669,94,MB,Full-time,138
A00166,73753,800.6340252896559,8844.965347938634,35983.81573886053,30,AB,Part-time,373
A00167,90502,4744.531798445233,6762.337350404775,30990.306903230026,68,MB,Unemployed,46
A00168,154894,99.69234734518496,3409.1640919209044,21931.876958010216,86,BC,Full-time,89
A00169,53072,847.6615442633317,5435.343783741237,12712.25620337979,79,BC,Full-time,35
A00170,41160,8076.258695629751,8405.358799491938,19081.720267951325,91,ON,Unemployed,224
A00171,38458,7714.733448596064,8833.682980309119,30013.253460081098,69,QC,Unemployed,553
A00172,39902,9151.38820404896,1603.938750061452,18186.907522718393,95,AB,Unemployed,268
A00173,57730,8545.154359107495,3395.7314120816964,11529.92524513736,96,MB,Part-time,185
A00174,71159,6831.755632398181,3352.231802135717,6706.674695689973,23,BC,Part-time,370
A00175,68902,523.3285730066284,420.4479607594469,44108.5799575687,46,QC,Full-time,234
A00176,90734,7828.486179866575,5982.377598518965,22575.335811843375,28,QC,Unemployed,121
A00177,60391,8455.108108405604,8548.20052992188,31635.207765403575,99,AB,Full-time,423
A00178,124102,7990.821457719545,3815.7438782551776,25030.107695703457,70,AB,Unemployed,388
A00179,52563,5084.7903530802605,7400.359449841771,43755.759399540206,98,AB,Unemployed,116
A00180,233791,2329.0183864948167,6277.004136007399,27799.80776996233,35,AB,Unemployed,465
A00181,82037,8453.299756887267,3756.487354930008,24558.289479506555,83,BC,Unemployed,428
A00182,39086,7271.628097401384,1410.5979949229709,46305.44853066392,39,AB,Unemployed,441
A00183,35124,9807.611743888516,7093.238527759673,36264.79020622237,72,QC,Part-time,38
A00184,76369,1556.925977559329,8545.651689412405,6465.945459996009,67,QC,Full-time,161
A00185,53657,2256.6458305205506,6858.544924014919,9707.518598643888,40,MB,Unemployed,525
A00186,85742,2117.981498815027,178.78484034818064,39569.02028403265,87,QC,Part-time,165
A00187,76017,7925.397676213367,2162.3289439099126,41956.71473781776,82,QC,Part-time,444
A00188,57854,1869.0729645011816,694.799848835319,27714.350625424526,54,BC,Unemployed,442
A00189,39289,666.598298233061,5703.8609957622675,28168.306165465325,39,QC,Unemployed,330
A00190,28132,9985.608065856286,7564.776788404124,31964.71517972078,74,ON,Part-time,334
A00191,47994,248.17211445149147,1105.7918706865944,22516.672939849333,91,QC,Unemployed,111
A00192,92069,8352.440601588656,8383.378205933852,34329.7570507113,66,MB,Part-time,138
A00193,66779,3653.668415506528,5555.089783954832,6315.5816207543685,94,MB,Unemployed,165
A00194,32184,8416.154597578152,6899.690121417249,48102.682876001934,36,AB,Part-time,413
A00195,65427,5546.20491211145,9714.018486086463,37757.58636595117,33,BC,Unemployed,168
A00196,72748,9016.312294863601,836.8098824769731,31927.53599644134,62,MB,Part-time,123
A00197,38567,9261.929864146266,9012.240229777892,16499.780793464553,63,ON,Full-time,549
A00198,64793,90.98181280775997,1261.026959874093,8886.81888537973,54,ON,Unemployed,97
A00199,61771,754.1217599278826,3929.5880663668227,21057.805227618286,58,AB,Unemployed,59
A00200,33881,2503.587295708555,8514.386963311144,33417.26028812886,69,BC,Part-time,18
A00201,71753,6693.154163635017,9062.542367378683,32051.777427732435,48,BC,Unemployed,123
A00202,79418,8882.72196511506,5063.716735451453,19749.416598213003,44,QC,Full-time,225
A00203,103117,4599.419512939628,5941.046382754252,31051.03329782336,49,ON,Full-time,323
A00204,101620,6069.731162742654,7081.4733459855715,40873.66648280983,74,ON,Part-time,16
A00205,30129,1884.9985279556115,8327.586684527141,2287.953844542746,79,ON,Part-time,79
A00206,37540,8049.668338816853,1215.1116953766616,23080.43134858351,35,ON,Unemployed,596
A00207,77622,9673.281113534698,8100.693082292276,38169.20619487276,99,MB,Part-time,455
A00208,77574,2685.989329145975,4812.761505116167,27761.079052705485,42,BC,Full-time,540
A00209,77623,4948.259516005463,4506.23425108169,32922.32830852443,22,QC,Full-time,377
A00210,411871,861.161105063738,4238.997519969983,26317.14323766176,27,MB,Unemployed,190
A00211,79821,5591.366564629684,5092.115852460426,49601.85268943324,20,BC,Full-time,490
A00212,105861,5027.834418466806,9450.505533946036,3676.455287962873,53,AB,Part-time,404
A00213,96674,1444.364841550776,5482.037727921516,25061.196266846488,56,ON,Unemployed,271
A00214,83099,4420.66213118075,9531.775382631393,5479.410906611367,63,QC,Unemployed,429
A00215,51249,3341.0465208656324,1802.9013061564058,8829.492543564951,33,BC,Unemployed,519
A00216,87691,5218.308753051893,7241.359788326331,19768.87917049483,60,AB,Part-time,383
A00217,40769,5856.543354287992,8122.395386087472,8621.464483523878,21,ON,Unemployed,191
A00218,53299,84.95578607209508,6791.288313348619,48220.671131875904,49,AB,Unemployed,434
A00219,47071,7610.0598294955535,6069.2228022654035,47392.699059532795,70,AB,Full-time,62
A00220,62507,7130.142918617408,5648.127810861823,17469.372664809587,59,MB,Full-time,215
A00221,190885,3662.8638620652223,8609.30482578696,32347.637889846297,75,AB,Unemployed,133
A00222,23587,529.3593556881826,8216.465971645,27153.91270909552,60,MB,Part-time,160
A00223,84561,7549.325397850504,1222.8872118059953,40963.76204527266,71,MB,Part-time,257
A00224,26788,9551.751604781324,8485.876570308781,31744.83488103017,74,AB,Part-time,424
A00225,47388,2401.515960220142,4140.686194404425,1012.3702700375432,94,BC,Part-time,527
A00226,103422,3235.246137370379,2536.9682999581078,38395.5448948772,90,AB,Full-time,357
A00227,61959,1838.1288948181495,8697.685680139259,37595.55794350979,71,AB,Part-time,374
A00228,35004,5769.361233448397,4320.247996337416,25976.41257275757,50,BC,Part-time,570
A00229,41958,1548.4139464745494,8083.646901768167,45243.029688419636,99,ON,Unemployed,8
A00230,84279,3561.9394346137947,2634.036119558445,45513.864078829676,72,QC,Part-time,196
A00231,41644,6970.130139342629,39.29321422217802,26671.672158515463,55,ON,Part-time,116
A00232,66858,5601.159830093484,4954.591929029444,30791.423328630346,26,AB,Part-time,9
A00233,61382,3864.6256432793525,1002.2825664288426,49829.581524308946,100,ON,Part-time,518
A00234,43316,4202.496018075419,7543.759555249097,15642.191505759458,29,QC,Full-time,348
A00235,175268,5621.108826232295,2760.751360694104,16906.24487326239,72,ON,Unemployed,403
A00236,82376,58.647278871613025,4436.456466034787,9955.921230511321,78,QC,Full-time,574
A00237,21797,785.0986845360985,870.3356509155425,44897.48001873553,28,ON,Unemployed,3
A00238,65862,8812.580677630116,2866.5924844725264,37479.93110751404,88,MB,Unemployed,327
A00239,43096,778.7898909129076,7814.90243258572,6176.499594641853,99,AB,Unemployed,511
A00240,91887,7068.035962105051,1515.8791190231946,49106.600208700314,60,QC,Unemployed,129
A00241,40369,9200.381641090526,6471.595611269574,36817.123699894684,55,AB,Full-time,586
A00242,56654,2706.836043017311,9174.258528045011,42675.583370643755,98,MB,Unemployed,483
A00243,77233,3704.914370595143,6798.367597577203,3359.388669486845,94,ON,Part-time,357
A00244,92501,5689.214058447163,8110.216892922268,25743.085028166217,76,AB,Part-time,384
A00245,32923,8817.089696385847,1089.716293039158,35231.316049624926,77,ON,Unemployed,253
A00246,50759,9419.055872604202,2507.3182600205446,27604.382644020225,42,ON,Part-time,166
A00247,47317,7395.632481112681,8945.38852240591,33665.7258192646,46,AB,Part-time,468
A00248,43279,866.1976085469403,7151.056136180892,41075.82911593316,55,QC,Unemployed,492
A00249,145049,6691.541555348508,6395.538263773112,19342.516085049614,39,QC,Unemployed,337
A00250,73466,4103.03721872662,6637.667361217,42584.76510531678,51,AB,Unemployed,50
A00251,31941,4707.009994910616,4142.0055430464345,8982.889133499246,20,QC,Full-time,55
A00252,94942,491.4839034517704,445.5663161765322,14273.416696292363,46,BC,Unemployed,72
A00253,173369,1910.6213934635819,7844.415420707291,3123.935376438963,33,ON,Unemployed,599
A00254,100542,7905.136075336477,6787.132362153538,18856.913755427304,19,AB,Full-time,51
A00255,28068,4539.5883304785975,4728.044641127247,19615.567696381895,46,MB,Part-time,124
A00256,47097,3016.6224163114885,8997.596153682574,40458.2592631553,68,AB,Full-time,261
A00257,113046,3840.1907396495817,3361.596649850989,33003.402844193144,53,AB,Part-time,574
A00258,42119,8543.995133256802,2943.2174423123593,22399.405349627665,46,ON,Full-time,547
A00259,74907,7489.990174049569,8727.963250794428,32953.58495256366,27,MB,Unemployed,520
A00260,88381,2723.153971810828,7969.876547589854,3586.384175268867,42,ON,Full-time,329
A00261,37745,1175.018402123733,5149.798106483448,9833.305264900428,81,QC,Unemployed,322
A00262,58240,2519.982216440717,1307.3473945784997,31720.444906845994,22,AB,Part-time,240
A00263,11866,9207.564510547338,2150.7147146505245,32426.97414203981,74,ON,Unemployed,284
A00264,35950,5815.888378497553,6562.279904088066,38932.59827666393,59,BC,Full-time,263
A00265,52881,5334.802087447829,3850.4123784041167,20746.98819362651,85,AB,Full-time,298
A00266,32151,5963.935996924615,8364.731916659712,36405.15073419165,66,QC,Part-time,204
A00267,135714,3660.2826574651526,9499.550093322041,34515.03629544928,76,ON,Unemployed,290
A00268,29349,8071.070203195128,8056.369252749183,48206.2755401226,57,ON,Part-time,210
A00269,48150,5232.862493002498,3775.4542299555715,11541.38109480928,43,BC,Unemployed,365
A00270,64053,1167.4790276879555,7886.864292314241,28032.298623879335,78,QC,Unemployed,463
A00271,123344,1290.6512482906296,3514.4167347068346,30486.457663412995,65,BC,Part-time,321
A00272,29265,5368.591465026184,1671.000877656339,49933.746361776815,79,AB,Part-time,357
A00273,107331,9365.702180708391,333.93204865857393,10858.022966165934,45,MB,Unemployed,93
A00274,60307,3083.5212167619875,3857.1671276102006,26637.68297839732,60,ON,Part-time,168
A00275,36729,8695.411688592183,9035.59303697282,17963.080077968305,70,BC,Unemployed,296
A00276,75595,7640.955865788793,2389.865877556765,26768.75546037099,66,ON,Part-time,515
A00277,66279,2478.1244290690684,2065.13164929784,12374.301503052191,50,ON,Part-time,97
A00278,44444,363.40748316242457,9698.207852410404,3333.0065429469173,42,BC,Part-time,349
A00279,62131,1018.4726514238274,250.0411285059212,29055.707240986754,21,ON,Full-time,578
A00280,49485,7284.939338474402,7857.821503937544,17456.861477180773,45,QC,Part-time,400
A00281,63504,1996.697380406467,3213.6995574087036,9915.12868567325,91,QC,Full-time,450
A00282,83547,3712.7092050539377,374.8795686965933,16872.842737823652,58,MB,Unemployed,474
A00283,132602,5016.991660064248,9178.025402095836,3414.729870939501,41,QC,Unemployed,418
A00284,32311,7254.681684501628,1396.423302095836,47571.669470415065,25,BC,Part-time,3
A00285,174314,1132.3122325912539,5517.792837256954,29476.247833689762,99,QC,Full-time,323
A00286,22607,4063.664052774615,2740.542074295478,40923.66538600422,55,MB,Unemployed,368
A00287,55614,4850.729091426954,651.9280218469104,21732.79167983879,25,AB,Full-time,394
A00288,80519,5408.270639715397,499.2248566337909,45262.4187107431,95,AB,Full-time,555
A00289,69050,8183.606413952167,1155.566988363388,24682.592856060415,100,BC,Unemployed,118
A00290,43947,1716.781950432169,713.6701388938005,29123.3207878328,40,MB,Full-time,189
A00291,54070,8078.314518266223,7605.581155199229,25097.905023070187,96,QC,Full-time,415
A00292,46891,6928.784276966522,4855.662022834292,36930.636497514926,100,MB,Unemployed,105
A00293,44686,5558.708141989593,3428.920913489797,28766.14780250106,35,ON,Part-time,164
A00294,91757,6995.278704025719,4183.689101320072,14308.347255439488,37,MB,Part-time,345
A00295,71725,4120.177389516564,9289.467355726232,8131.437034809669,57,QC,Full-time,97
A00296,42431,1383.9758596812458,9107.518127381472,30700.09505526591,54,BC,Part-time,485
A00297,94079,6657.652402653674,7156.764801225769,24969.818115804777,33,ON,Unemployed,330
A00298,69964,5246.723066856222,8846.823774216877,5702.809138109535,81,MB,Unemployed,369
A00299,90086,6393.748005427755,3196.480275876248,20385.255823870153,47,AB,Unemployed,441
A00300,82200,3379.9878102849,3811.0932600828282,26224.044678022226,78,QC,Full-time,119
A00301,39640,9068.66577339836,6137.12181854228,41517.76845745391,74,BC,Unemployed,298
A00302,45342,5873.6986857557695,6236.259472972642,4728.951735834755,58,QC,Full-time,142
A00303,87181,854.0248429087383,4816.998380123409,18076.272064054145,34,MB,Full-time,92
A00304,81412,4498.039907044286,4006.5784843795327,41310.15001280888,51,BC,Unemployed,296
A00305,59376,7563.560547436343,9861.80311608695,32772.772656807356,34,AB,Unemployed,446
A00306,63625,7941.345617322724,8211.236261177244,15207.957768385551,48,ON,Full-time,479
A00307,113656,4945.970527637588,4349.801978880452,42421.420979109476,84,MB,Unemployed,257
A00308,44636,8947.475708313012,7272.924772395685,25171.385447571924,62,BC,Part-time,521
A00309,78877,2676.6843719429758,2695.616932524595,25419.242674212568,56,ON,Full-time,374
A00310,54230,4105.986972382666,1001.6932623732988,48852.77962081883,69,BC,Full-time,426
A00311,53812,8985.9691056897,3524.3102555274063,47408.708658582545,78,MB,Unemployed,100
A00312,103931,8962.567164715789,4029.728001233942,18568.10148512235,36,BC,Unemployed,243
A00313,90654,6857.127688246809,165.37124560670802,7888.377304491033,23,AB,Full-time,22
A00314,90116,8589.805471222202,8147.92001635896,16957.669881626607,58,BC,Full-time,353
A00315,115247,887.7326695623267,3591.9340238918153,2493.6797552580138,24,MB,Full-time,465
A00316,60633,8649.949762077764,5804.1816578014705,2017.626448809169,94,BC,Unemployed,224
A00317,84379,3206.199065502268,739.6318727095596,20380.58467631954,30,ON,Full-time,443
