applicant_id,self_reported_expenses,annual_income,self_reported_debt,requested_amount,age,province,employment_status,months_employed,credit_score,total_credit_limit,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,estimated_debt,DTI,approved_amount,interest_rate,approved
APP00024,6736.098319966951,39557.12106126015,359.2378633172517,10278.307420957144,62,ON,Full-time,477,747.0,42849.60573156982,17.37453049603028,0,9,On Time,223.34753445781013,0.2702728398330192,15000.0,6.75,1
APP00025,648.9927953840946,51514.09031667596,544.841691071519,4973.450087577149,31,BC,Unemployed,0,791.0,34388.68609820077,9.318542040219977,1,3,On Time,96.13572513420367,0.18406946463979218,25000.0,5.75,1
APP00026,4657.255776674976,62705.36203620314,485.3679083719917,3865.36336963084,51,ON,Part-time,488,679.0,42089.96195037221,39.79103088521615,19,6,On Time,502.44089277744996,0.2112297257643329,15000.0,7.75,1
APP00027,2402.450184643039,42942.93377436136,450.34818178883546,10433.084398099047,50,ON,Full-time,80,877.0,50000.0,45.4582671674008,14,1,Late <30,681.874007511012,0.40385169644063856,0.0,0.0,0
APP00028,4698.0432144868155,67889.37834621678,493.2180259833373,5121.184008185871,66,BC,Unemployed,0,660.0,38163.05001739293,33.96438255100915,14,8,On Time,388.855329031209,0.18306997067699715,15000.0,7.75,1
APP00029,4554.655720063617,50651.993031505364,314.0822758389688,1185.166518466176,23,ON,Unemployed,0,736.0,50000.0,33.85270725541395,18,4,On Time,507.79060883120917,0.2031338541069875,15000.0,7.75,1
APP00030,5821.44802814742,55571.03215333299,569.1462029295778,5293.180109232671,79,ON,Full-time,286,552.0,50000.0,29.003338256459294,1,9,On Time,435.0500738468894,0.25113624166875104,10000.0,8.75,0
APP00031,3567.704903492512,50635.76791268887,388.06927284505025,8199.74495912036,21,ON,Part-time,561,694.0,35246.72413386324,39.32548298760147,4,8,On Time,415.82833508847625,0.2488098828126695,15000.0,6.75,1
APP00032,1642.7044945592806,105726.29598311339,1305.1709516216558,3797.9549268702003,42,BC,Part-time,98,708.0,50000.0,52.8178472754274,11,8,On Time,792.2677091314109,0.25099269255539314,15000.0,7.75,1
APP00033,5037.194345899563,60407.9681085464,427.6306150129207,5751.86351667673,52,BC,Part-time,478,685.0,50000.0,8.350137789251892,12,7,Late <30,125.25206683877838,0.14410786061503708,15000.0,7.75,0
APP00034,8302.028843457621,44161.656266541606,523.2153137517482,1623.8665211044806,60,ON,Full-time,406,661.0,42990.04395376711,17.309937363060754,15,2,On Time,223.2464904224812,0.21607281982577758,15000.0,7.75,1
APP00035,6640.122280676023,77628.42484128992,926.9885458485231,7469.0207066535295,38,BC,Part-time,537,,50000.0,19.14584173559887,7,8,On Time,287.18762603398307,0.2223278593153348,15000.0,7.75,1
APP00036,3383.6786592521585,42052.42654750847,259.9726380457744,9319.24416246433,59,ON,Unemployed,0,770.0,50000.0,16.759460456467814,4,2,On Time,251.39190684701722,0.22570165901075692,21026.213273754234,5.75,1
APP00037,9355.230227588572,64575.12433977383,698.606618513117,5546.438175412213,100,BC,Full-time,568,566.0,45652.98284329217,21.767292632622496,20,8,On Time,298.1225511306105,0.2161431034252967,10000.0,9.75,0
APP00038,9122.075712491822,33692.29407756054,261.978505196708,5622.558960816061,38,ON,Part-time,255,571.0,48162.419529653336,17.131767510283314,10,1,On Time,247.53221223442483,0.2415463255880681,8423.073519390135,9.75,0
APP00039,2093.4839938409878,40719.79636289595,481.0109852682449,1971.1074844340808,24,ON,Full-time,487,680.0,50000.0,50.99585636616833,10,10,On Time,764.9378454925251,0.3846037078367087,13437.532799755663,8.75,1
APP00040,394.17585120362975,64343.02629907787,509.4489255130117,3221.3495096318084,75,ON,Full-time,194,710.0,37717.8784474604,27.780112109456688,9,10,On Time,314.3420675403931,0.17166083685228528,15000.0,7.75,1
APP00041,7413.087083507622,75694.85254044553,784.8948866615012,2701.4283344070395,60,ON,Full-time,516,657.0,44660.73111064876,16.323709103838198,12,6,On Time,218.70863490449008,0.1719503509465694,10000.0,9.75,0
APP00042,8276.102613491532,63852.815072333,514.5299263192412,6298.565455276917,43,BC,Part-time,464,725.0,50000.0,14.337891004281225,10,10,Late <30,215.06836506421837,0.17262610971833647,15000.0,7.75,0
APP00043,9678.645659513553,58584.82483998755,355.3173315987354,6821.810950458252,59,ON,Full-time,504,769.0,50000.0,19.511106157899928,18,1,On Time,292.66659236849887,0.17464691680341216,25000.0,6.75,1
APP00044,8898.363940883108,55414.377254366744,322.95043231859063,11438.34144412686,59,ON,Full-time,36,798.0,46033.303016319725,31.003509611772117,0,4,Late>60,428.1581857584261,0.23696208434382643,15238.953744950855,7.75,0
APP00045,6005.347682064148,38924.099720228645,300.17980074536905,1805.546547049573,21,BC,Full-time,16,825.0,38775.719283940685,24.966275853394336,20,1,On Time,290.42559121699367,0.19877817383314292,21408.254846125757,6.75,1
APP00046,5300.523392123808,48872.60054879858,511.327407195055,7598.547704705518,61,ON,Full-time,590,614.0,31668.07485693871,29.76474646996398,10,7,On Time,282.7776657925865,0.2509532521663037,10000.0,9.75,0
APP00047,278.4105126258629,52824.682585989816,486.4587536625196,6791.483800610655,64,ON,Full-time,73,658.0,50000.0,5.654477039565744,3,1,On Time,84.81715559348616,0.17605870256111145,10000.0,8.75,0
APP00048,2466.5644684477784,83288.19761611581,824.9899265794987,6678.564077294121,75,BC,Part-time,320,649.0,47182.65734314529,37.22712706861386,0,8,On Time,526.9424341044411,0.22365079241946337,10000.0,8.75,0
APP00049,4596.147517329265,67239.15038212456,438.35799287303166,10604.75216121109,92,BC,Part-time,245,800.0,50000.0,41.16131212379665,20,1,On Time,617.4196818569498,0.2452000476076632,25000.0,6.75,1
APP00050,6285.039000835678,35739.55788635371,292.30054465471187,3260.923177650351,69,ON,Full-time,195,669.0,47649.11017473066,48.05503109731061,5,3,On Time,686.9338413617584,0.3616369574926043,14742.567628120905,7.75,1
APP00051,5572.518333184106,66846.26140188069,303.25656823404785,1448.506017755086,23,ON,Full-time,89,744.0,50000.0,46.95392337538216,15,6,On Time,704.3088506307324,0.1886754311799755,15000.0,7.75,1
APP00052,7426.359896816905,54035.730401870926,593.2818868703222,8394.986583976117,91,ON,Part-time,139,606.0,50000.0,31.968974947137045,9,8,On Time,479.5346242070557,0.29417559797821397,10000.0,9.75,0
APP00053,2797.6693088704087,49505.985719800476,614.6548342324156,4796.732105495782,33,ON,Full-time,563,668.0,50000.0,48.84245774586947,10,2,On Time,732.6368661880421,0.3614577854141573,15000.0,8.75,1
APP00054,5649.526076524732,72869.71150519224,550.7001305296578,1193.4890783377705,57,ON,Part-time,397,648.0,50000.0,6.555928316425039,15,1,Late>60,98.33892474637558,0.11277833494549278,9108.71393814903,11.75,0
APP00055,881.4224339079213,82638.03467273265,351.87526736658856,3765.114080194552,88,ON,Full-time,484,774.0,50000.0,16.39491713282262,8,5,On Time,245.92375699233926,0.10320948937077543,25000.0,6.75,1
APP00056,4136.65523583207,80202.46272721974,447.6584934045915,4402.594516384931,97,BC,Full-time,387,620.0,50000.0,44.86015412351062,11,0,On Time,672.9023118526593,0.18742147283070923,10000.0,9.75,0
APP00057,7501.60832954601,47153.343993833965,452.8791360725411,7785.222144626662,56,ON,Full-time,368,862.0,50000.0,27.77714902629228,19,4,Late <30,416.6572353943842,0.2807248714195044,25000.0,6.75,0
APP00058,6934.00853429044,55279.739840400944,512.2954616016649,2898.4437345419933,57,BC,Full-time,458,737.0,50000.0,49.400166907297134,16,7,On Time,741.002503609457,0.2909386942377465,15000.0,7.75,1
APP00059,9906.42737172179,66990.39262210362,718.9546934099247,5543.597827487378,70,ON,Full-time,422,661.0,44448.928002847424,22.783437501786416,19,2,On Time,303.8098119522835,0.21299874091996154,15000.0,7.75,1
APP00060,2778.91125987756,81274.61458956715,510.5969369674819,6307.229888596158,21,ON,Full-time,232,747.0,50000.0,42.42692896735239,10,4,On Time,636.4039345102858,0.19728931719457357,15000.0,7.75,1
APP00061,4981.892991739792,52531.75871643378,553.173390782559,6051.611305005,47,ON,Full-time,539,654.0,38113.55658842774,37.68007500141727,0,8,Last 30-60,430.83650124681554,0.2662522465629684,10000.0,8.75,0
APP00062,3295.3041377399672,57367.187468846954,567.927517272859,11713.348433334599,49,ON,Full-time,344,635.0,50000.0,23.986936649987936,5,0,On Time,359.804049749819,0.26756731360776803,10000.0,8.75,0
APP00063,4406.031140591747,43522.136503145026,298.422040718905,1500.5466156932573,84,ON,Full-time,138,775.0,25819.24412661633,8.185922159139668,9,8,On Time,63.406296788491595,0.11217594594386548,23937.175076729767,6.75,1
APP00064,8569.501298693882,42364.392029054296,369.09558138345915,11460.650050976392,63,BC,Part-time,374,829.0,50000.0,19.610932269368554,7,0,Late>60,294.1639840405283,0.28526194345362643,10591.098007263574,8.75,0
APP00065,6842.090751884866,77395.44530738414,417.46703870445407,7401.309353934366,91,BC,Full-time,437,750.0,40227.840626946476,22.77363466868053,13,3,On Time,274.84024378439494,0.14176749954348708,25000.0,6.75,1
APP00066,8824.411913475817,91107.68828013462,723.216248714419,9753.00486466822,40,BC,Part-time,155,621.0,50000.0,45.92590091104459,18,0,On Time,688.8885136656688,0.22452922784017088,10000.0,9.75,0
APP00067,2035.1110833188645,59356.827331662105,683.1957666246271,5734.31879817683,28,ON,Part-time,519,654.0,50000.0,26.70456543943282,20,7,On Time,400.5684815914923,0.2538802429876287,10000.0,9.75,0
APP00068,8733.61117841438,81959.8960735565,629.1729146195429,5992.216693826785,39,ON,Full-time,115,842.0,50000.0,28.276551651054927,6,6,On Time,424.1482747658239,0.18054015428621506,25000.0,6.75,1
APP00069,597.6227417838443,67603.58360163744,754.6625819265108,10672.59148917406,35,BC,Part-time,92,783.0,50000.0,33.627064022889385,6,2,On Time,504.4059603433407,0.28032471702996914,25000.0,6.75,1
APP00070,8885.992804371524,49980.56648651372,454.0956734125624,10855.279459210924,85,ON,Full-time,346,629.0,29025.214160365584,12.836084068174516,5,4,On Time,111.7710267177666,0.214049214703611,10000.0,8.75,0
APP00071,3290.7377946072793,67598.7078107492,389.7497647505647,3625.577695744274,25,BC,Full-time,594,662.0,50000.0,40.702223706132855,18,1,On Time,610.5333555919929,0.19687662450349924,15000.0,7.75,1
APP00072,3145.8763341406648,96214.60410065904,866.8184110363193,3191.6606644308,54,BC,Full-time,525,734.0,50000.0,41.09877320161653,10,9,On Time,616.481598024248,0.1969409750737841,15000.0,7.75,1
APP00073,5120.885766986639,60004.66890362643,503.0308049053119,6458.586912569462,85,BC,Part-time,584,708.0,41398.759884114195,59.73578429688708,0,4,On Time,741.8962171788203,0.2877145373681283,15000.0,6.75,1
APP00074,9406.901877232318,96985.67456813325,726.2944674069105,10903.047298404608,95,ON,Full-time,91,887.0,50000.0,44.5401555353544,5,4,On Time,668.102333030316,0.2129990715088552,25000.0,5.75,1
APP00075,477.8136468140537,27639.520612174638,142.71906920779378,4545.90602746794,48,BC,Full-time,398,661.0,30151.479378517655,42.79982543090458,12,8,On Time,387.1434161652225,0.2892552337120882,15000.0,7.75,1
APP00076,3522.309750707453,77613.46555282235,592.9078025290064,8172.160768730444,89,BC,Full-time,105,767.0,50000.0,42.24705697154154,17,4,On Time,633.7058545731231,0.227555123794189,25000.0,6.75,1
APP00077,8565.719886833358,62257.829744259194,297.1578541987003,8789.668565146612,47,ON,Full-time,596,743.0,50000.0,29.931193278732522,1,10,On Time,448.9678991809878,0.19463880725984384,15000.0,6.75,1
APP00078,3960.5447743546674,55449.23851325966,276.6773995447299,9565.421313835714,90,BC,Full-time,540,587.0,50000.0,18.27811058172325,16,1,Late <30,274.1716587258487,0.18131430911938734,10000.0,9.75,0
APP00079,1991.56897597067,62345.93159713466,475.8639125908987,7203.169037130596,92,ON,Unemployed,0,528.0,39894.72940146408,20.86719600963759,16,2,On Time,249.74734145154076,0.1812544237031762,10000.0,9.75,0
APP00080,4247.941813314118,33411.47860025796,224.2415512486114,5427.006961068666,51,ON,Full-time,279,689.0,50000.0,25.298581587286122,1,5,Late>60,379.47872380929186,0.27530555940761453,9188.156615070939,8.75,0
APP00081,3855.525014916693,56784.79632922119,674.577035019694,11637.175876788702,77,BC,Full-time,12,,44168.1660620766,32.50369180863085,0,10,On Time,430.6885372302498,0.30734582689103074,23423.728485803746,6.75,1
APP00082,9154.162014667034,67511.90532028908,492.6713951771693,7724.638286331379,38,ON,Full-time,307,847.0,50000.0,14.830059596611967,11,0,On Time,222.4508939491795,0.16830123811038117,25000.0,6.75,1
APP00083,7619.343757430971,280518.3357094746,990.5024176581952,9014.217327965978,47,ON,Full-time,364,657.0,50000.0,26.22540697389169,11,5,On Time,393.3811046083754,0.210084022592056,10000.0,9.75,0
APP00084,5051.155557440064,51919.22370368321,445.7470982631268,4794.811302654662,71,ON,Full-time,318,757.0,50000.0,30.05431944865685,4,4,On Time,450.8147917298528,0.24046728472147288,25000.0,5.75,1
APP00085,9883.70566721571,47589.97382489403,477.5200454468231,8369.440991033882,19,ON,Part-time,538,696.0,50000.0,35.40606771219627,15,1,Late <30,531.0910156829441,0.31763689440026843,15000.0,8.75,0
APP00086,4652.775312759233,52177.067211814545,330.50518945474136,3835.774283805385,52,ON,Part-time,214,858.0,50000.0,29.22532503874702,15,1,On Time,438.3798755812052,0.20329811715058263,25000.0,6.75,1
APP00087,582.3783082027522,79821.33473550751,959.123162447676,3696.066092814998,62,BC,Unemployed,0,716.0,50000.0,33.15639922781245,12,1,On Time,497.34598841718673,0.2356289038026466,15000.0,7.75,1
APP00088,2622.743218149849,66939.92121854886,574.6170235965412,8861.94421990369,32,ON,Part-time,314,684.0,50000.0,17.60884647115746,6,2,On Time,264.1326970673619,0.19801780949002912,15000.0,7.75,1
APP00089,4360.704802193126,51740.5664577998,574.0288465600255,6735.342098892286,55,BC,Part-time,455,733.0,47168.23077149903,43.713882664301856,11,9,Last 30-60,618.5719516284063,0.32345862984535395,15000.0,8.75,0
APP00090,1569.0262414612012,70749.84996762073,510.01544190476216,8516.042714646288,53,BC,Unemployed,0,735.0,50000.0,10.327225061683642,13,1,On Time,154.9083759252546,0.15611144329334464,15000.0,7.75,1
APP00091,9475.65126324043,62445.45469351507,312.3372550305674,3963.8233982290085,77,ON,Unemployed,0,831.0,50000.0,16.061648274341177,19,2,On Time,240.92472411511767,0.12917065321566673,25000.0,6.75,1
APP00092,7668.488978177731,81106.54682058927,793.29748924785,7585.956751624035,42,ON,Part-time,399,720.0,50000.0,36.4218936829735,8,8,On Time,546.3284052446025,0.23187345413798308,15000.0,7.75,1
APP00093,2682.8720042777263,49134.14731912444,207.9028113676486,5883.270146734238,83,ON,Part-time,222,754.0,50000.0,31.860128651954255,10,2,On Time,477.90192977931383,0.21059964833378264,24567.07365956222,6.75,1
APP00094,5908.045335179158,54974.61548244206,446.8029697451266,7566.563155300807,24,BC,Part-time,580,587.0,50000.0,13.343762928560828,10,6,On Time,200.15644392841241,0.19076942345036096,10000.0,9.75,0
APP00095,7214.49157109572,53921.95589959509,311.3102803561365,4199.677054686413,86,ON,Full-time,262,627.0,50000.0,36.15382542994144,19,2,On Time,542.3073814491217,0.21800573597958975,10000.0,9.75,0
APP00096,9412.78928906798,39099.73547207884,367.3340333427009,8869.960600140363,56,ON,Full-time,496,689.0,50000.0,19.38660969170765,19,5,On Time,290.7991453756147,0.28365368273630026,15000.0,7.75,1
APP00097,8816.353491754106,66287.82657573296,817.2293998604567,9865.22302775412,19,BC,Part-time,130,728.0,43623.661291174954,11.208719378471864,1,8,On Time,146.6896133022857,0.22807367851579352,15000.0,6.75,1
APP00098,5151.922261382137,65594.1665623789,527.1600405869896,3859.08121243496,59,BC,Full-time,159,659.0,50000.0,17.501289526310302,14,5,On Time,262.5193428946545,0.16564616043903066,10000.0,9.75,0
APP00099,7746.526197930176,60746.181421198235,666.9415676085043,4306.826158412063,49,BC,Part-time,291,742.0,50000.0,14.524507767524414,17,3,On Time,217.8676165128662,0.2003116466220959,15000.0,7.75,1
APP00100,5621.44753827585,56531.276195455444,474.7610518162194,8272.696966910024,54,BC,Part-time,543,678.0,50000.0,6.569751224046158,11,4,On Time,98.54626836069237,0.1743788467843403,15000.0,7.75,1
APP00101,5527.038900455401,39668.561149444235,329.19617640762027,8651.436917338986,91,ON,Full-time,89,855.0,23488.712003396533,40.520372275763904,6,7,On Time,285.5314063967495,0.2644726196236502,21817.70863219433,6.75,1
APP00102,1147.419583381919,53462.29233096012,637.2809912449746,8745.09652837195,72,BC,Full-time,332,703.0,50000.0,52.96623133660565,11,10,On Time,794.4934700490846,0.38025919576908496,15000.0,8.75,1
APP00103,1261.3765801615207,54726.92567644632,633.9046565974731,8509.683552534205,49,ON,Full-time,506,754.0,36108.333054237024,33.35039423429919,2,7,On Time,361.26814275065436,0.2741897061750725,25000.0,5.75,1
APP00104,5295.336150224574,47678.80717882873,510.8786037512142,5320.884886477927,47,ON,Full-time,130,702.0,43249.59088141811,18.885923410571426,9,6,On Time,245.0425382775032,0.23042884068532518,15000.0,7.75,1
APP00105,2688.615449790066,57788.19248181339,383.45150614518036,5343.390418440462,21,ON,Full-time,207,712.0,50000.0,31.143982467066856,8,10,On Time,467.15973700600284,0.2099210054419078,15000.0,7.75,1
APP00106,210.36902460468633,68469.29817921441,596.2582734665912,3802.9938600881956,76,ON,Part-time,360,763.0,39530.06285647159,50.65755035393658,14,4,On Time,600.7488448937962,0.22978420442949124,25000.0,6.75,1
APP00107,7228.392039002123,106807.26583247053,644.3123686089186,2725.1706988599926,79,ON,Full-time,59,731.0,50000.0,12.1190547856467,6,8,On Time,181.7858217847005,0.10199905082675624,15000.0,7.75,1
APP00108,324.8659669016496,63914.32596987567,502.74832939462704,8618.351173365962,24,ON,Full-time,96,678.0,50000.0,31.32984699450037,3,0,On Time,469.9477049175055,0.23116818663035146,15000.0,6.75,1
APP00109,5952.768411040545,65525.2328759657,537.4232527789869,2025.0766456954411,38,ON,Full-time,246,746.0,50000.0,29.867702215304643,13,3,Late <30,448.0155332295696,0.19159478682536482,15000.0,7.75,0
APP00110,5391.937941273144,59313.46887096332,658.2015839159329,11315.715154654597,79,ON,Part-time,459,707.0,50000.0,17.607361185629205,17,10,Late <30,264.1104177844381,0.25527762520550407,15000.0,7.75,0
APP00111,9688.146905778045,34108.23399937026,396.80051795219345,10093.549340385965,64,BC,Full-time,145,766.0,50000.0,16.448544897860064,11,9,On Time,246.72817346790092,0.33294078080353695,14069.646524740234,7.75,1
APP00112,4842.131393476417,60172.535263474674,458.62506631027895,10432.563139529817,31,ON,Part-time,310,811.0,50000.0,13.309617882138966,10,6,On Time,199.64426823208447,0.19369226664135203,25000.0,6.75,1
APP00113,636.0143637779736,61758.971287927074,266.440782990919,10973.356960767092,41,ON,Full-time,534,799.0,50000.0,31.035996996125004,2,4,Late>60,465.539954941875,0.20619153939112028,16983.71710417995,7.75,0
APP00114,5516.879678064617,126994.37825036513,1441.1468508471785,5494.654677955641,97,BC,Full-time,381,635.0,50000.0,24.4393493553392,4,3,On Time,366.59024033008797,0.18639345382300943,10000.0,8.75,0
APP00115,8410.961706161013,57251.9610819234,321.69813883275543,10313.70795685441,49,ON,Full-time,353,477.0,50000.0,33.926867312362106,2,10,On Time,508.9030096854315,0.23894637647626654,0.0,0.0,0
APP00116,9968.4928428144,66395.83898884628,620.7357853246435,2738.6743032081426,22,BC,Unemployed,0,900.0,50000.0,33.697326056624945,5,4,On Time,505.4598908493742,0.21839125891125527,25000.0,5.75,1
APP00117,4303.431736890725,60024.730666580625,262.5936408862587,1238.0597406905924,93,BC,Full-time,285,761.0,50000.0,12.614684722989935,0,0,On Time,189.22027084484904,0.0977508500623507,25000.0,5.75,1
APP00118,3202.987424967425,42715.71027513906,320.19214989868175,9633.805341302352,84,ON,Part-time,502,750.0,50000.0,11.262231547997645,4,3,On Time,168.93347321996467,0.21860054158404613,21357.85513756953,5.75,1
APP00119,9066.532969519989,85457.31660895867,1058.218166718461,1822.7631279663324,34,BC,Part-time,258,663.0,50000.0,40.10508147020833,20,0,On Time,601.576222053125,0.2407485772747763,15000.0,7.75,1
APP00120,1912.4212907612136,76001.27342926075,380.44565520581193,11873.771340585137,49,BC,Part-time,52,555.0,50000.0,38.438232869077304,13,1,On Time,576.5734930361596,0.207348992332109,10000.0,9.75,0
APP00121,6154.289150329267,76897.9924432306,591.9179085194362,8422.760725617116,66,ON,Full-time,550,559.0,50000.0,49.19074525336194,8,8,On Time,737.861178800429,0.2469445860121698,10000.0,9.75,0
APP00122,4057.144241809477,46171.09484361175,310.5583075269732,9287.94681266316,61,BC,Part-time,216,693.0,50000.0,52.453765616983596,9,4,On Time,786.806484254754,0.3576271779967131,13851.328453083523,8.75,1
APP00123,410.82364955555283,92389.05130612613,1081.7896560112235,3703.842419056525,22,BC,Unemployed,0,732.0,50000.0,30.121773552366992,19,8,On Time,451.8266032855049,0.21362681078978005,15000.0,7.75,1
APP00124,3472.8847430569776,39829.77973899057,454.504290714296,8412.51933311657,80,ON,Part-time,446,854.0,35049.369944428414,18.81342139227363,10,8,On Time,197.81956988946655,0.2725697545482399,19914.889869495284,6.75,1
APP00125,2652.285225026746,72329.15615012344,444.64274021618087,1475.4193098045293,66,BC,Part-time,223,739.0,50000.0,51.016016909095555,9,9,Late <30,765.2402536364333,0.20807303276875455,15000.0,7.75,0
APP00126,6860.911539434868,117015.55488910167,566.7334283039605,10216.08291915961,46,ON,Full-time,105,773.0,50000.0,47.895730215904905,2,4,On Time,718.4359532385735,0.1632246451978902,25000.0,5.75,1
APP00127,9487.90497691918,45060.646770863736,423.2465419722219,2865.8650233472968,34,BC,Full-time,522,677.0,50000.0,36.96600187635398,15,2,On Time,554.4900281453097,0.28327490092905144,15000.0,7.75,1
APP00128,2680.4718737863777,51176.52173990297,356.68701305242763,8670.938735171476,95,BC,Part-time,383,683.0,50000.0,13.967999713030386,13,3,On Time,209.51999569545578,0.1937611567279432,15000.0,7.75,1
APP00129,8114.659391516818,62493.69024177755,610.3989903646492,3469.2855135600116,87,BC,Full-time,114,602.0,50000.0,20.510877679116895,12,4,Last 30-60,307.6631651867534,0.19627083316802954,10000.0,9.75,0
APP00130,553.5981693840952,52150.17252846674,231.25114237285135,1752.9848636864701,48,ON,Part-time,69,621.0,34804.9551904163,31.043076129099965,12,10,On Time,324.13586209380185,0.13989826400947228,10000.0,9.75,0
APP00131,5381.2101003981315,38090.738045760336,201.05536954608914,6296.430464043337,83,ON,Unemployed,0,620.0,28527.28852867626,18.102871029549455,2,5,On Time,154.9277475172116,0.17165622687489443,9522.684511440084,8.75,0
APP00132,705.5006370989458,61913.55131509452,612.1043176047693,2862.148313000684,87,BC,Part-time,365,690.0,50000.0,18.006419811816848,16,5,On Time,270.0962971772527,0.18762904926812593,15000.0,7.75,1
